booking id,booking_date_time,gender,month,day_of_week,time_of_day,distance_travelled,time_taken,reason,toll,category,commission_base_cost,driver_base_cost,total_tax,total_trip_cost,ratings
1890061540,43249.9194444444,Male,May,Tue,0.919444444444444,17,58,Office to/from Home,0,Mini,57.73,230.91,21.94,311,3
1542148932,43153.925,Female,February,Thu,0.925,18,43,Late Night Ride,0,Mini,52.04,208.16,19.76,279.96,5
1672692603,43194.8826388889,Female,April,Wed,0.882638888888889,2,5,Office to/from Home,0,Prime,19.7,78.81,7.49,106,5
1925600201,43258.9326388889,Female,June,Thu,0.932638888888889,15,49,Office to/from Home,35,Micro,51.24,239.96,21.22,312,5
1530845664,43150.4798611111,Male,February,Mon,0.479861111111111,46,0,Office Event,0,Prime Rentals,195.92,783.68,74.45,1054.05,4
1773316272,43220.8916666667,Male,April,Mon,0.891666666666667,30,91,Office to/from Home,35,Micro,132.71,565.86,52.18,751,4
1602927461,43173.0805555556,Male,March,Wed,0.0805555555555556,4,4,Office to/from Home,0,Micro,19.44,77.74,7.39,104.57,3
1915119412,43256.1361111111,Male,June,Tue,0.136111111111111,5,18,Office to/from Home,0,Micro,0,67.88,4.16,72,5
1793413698,43226.0576388889,Female,May,Sun,0.0576388888888889,3,4,Office to/from Home,0,Mini,19.52,78.06,7.41,105,4
1870703124,43245.0583333333,Male,May,Fri,0.0583333333333333,4,4,Office to/from Home,0,Micro,15.88,63.52,6.04,85,4
1539201134,43152.9430555556,Male,February,Wed,0.943055555555556,5,25,Office to/from Home,0,Micro,23.02,92.08,8.74,123.84,5
1644393205,43186.2840277778,Male,March,Tue,0.284027777777778,62,98,Office Event,35,Mini,193.66,809.66,75.34,1079,4
1908175658,43254.6930555556,Male,June,Sun,0.693055555555556,21,71,Other,0,Prime Play,120.34,353.02,39.32,513,5
1390900760,43104.5090277778,Male,January,Thu,0.509027777777778,6,29,Customer/Partner Visit,0,Micro,28.75,115,10.93,155,5
1784780679,43223.8979166667,Male,May,Thu,0.897916666666667,5,29,Office to/from Home,0,Mini,34.14,136.54,12.96,184,4
1805478949,43228.9736111111,Male,May,Tue,0.973611111111111,24,55,Late Night Ride,0,Mini,100.48,401.92,38.18,541,3
1539270023,43152.9805555556,Male,February,Wed,0.980555555555556,12,34,Office to/from Home,0,Micro,35.6,142.4,13.53,191.53,4
1941831597,43262.9944444444,Male,June,Mon,0.994444444444445,15,44,Office to/from Home,35,Mini,47.03,223.1,19.63,290,3
1474429099,43132.89375,Male,February,Thu,0.89375,16,47,Late Night Ride,0,Mini,44.97,179.9,17.09,242,1
